iter	Passed	Remaining
680	1914	26197
681	1917	26203
682	1920	26200
683	1923	26191
684	1925	26183
685	1927	26174
686	1930	26168
687	1933	26164
688	1935	26158
689	1938	26149
690	1940	26145
691	1943	26140
692	1946	26139
693	1949	26134
694	1951	26125
695	1953	26119
696	1956	26115
697	1959	26108
698	1962	26112
699	1965	26116
700	1968	26116
701	1971	26111
702	1974	26112
703	1977	26113
704	1980	26111
705	1983	26106
706	1985	26098
707	1988	26094
708	1990	26086
709	1993	26084
710	1996	26083
711	1999	26079
712	2002	26078
713	2005	26077
714	2007	26072
715	2010	26072
716	2013	26066
717	2016	26062
718	2018	26057
719	2021	26052
720	2023	26047
721	2026	26039
722	2029	26035
723	2031	26031
724	2034	26026
725	2037	26022
726	2039	26014
727	2041	26005
728	2044	25999
729	2047	25994
730	2049	25990
731	2052	25984
732	2054	25975
733	2057	25970
734	2059	25963
735	2062	25961
736	2065	25962
737	2068	25962
738	2071	25960
739	2074	25957
740	2076	25951
741	2079	25947
742	2082	25942
743	2084	25936
744	2087	25929
745	2089	25921
746	2092	25914
747	2094	25908
748	2097	25910
749	2100	25906
750	2103	25902
751	2105	25893
752	2107	25885
753	2110	25877
754	2112	25870
755	2115	25863
756	2117	25858
757	2120	25858
758	2123	25854
759	2125	25847
760	2128	25843
761	2131	25838
762	2133	25833
763	2136	25828
764	2138	25818
765	2141	25810
766	2143	25804
767	2146	25798
768	2148	25792
769	2151	25786
770	2153	25783
771	2157	25784
772	2160	25787
773	2163	25792
774	2167	25795
775	2169	25793
776	2172	25789
777	2175	25783
778	2177	25778
779	2180	25773
780	2182	25767
781	2185	25763
782	2188	25759
783	2190	25754
784	2193	25747
785	2196	25743
786	2199	25743
787	2202	25745
788	2205	25741
789	2207	25733
790	2209	25725
791	2212	25721
792	2214	25715
793	2217	25712
794	2220	25707
795	2222	25702
796	2225	25698
797	2227	25691
798	2230	25690
799	2234	25698
800	2237	25699
801	2240	25698
802	2243	25697
803	2246	25692
804	2248	25686
805	2251	25679
806	2253	25673
807	2256	25674
808	2259	25669
809	2261	25663
810	2264	25657
811	2267	25653
812	2269	25647
813	2272	25650
814	2275	25650
815	2278	25647
816	2281	25647
817	2284	25647
818	2287	25647
819	2290	25643
820	2293	25638
821	2295	25631
822	2298	25626
823	2300	25621
824	2303	25619
825	2306	25616
826	2309	25614
827	2312	25615
828	2315	25617
829	2318	25616
830	2321	25611
831	2323	25608
832	2327	25610
833	2330	25609
834	2332	25606
835	2335	25605
836	2338	25603
837	2341	25595
838	2343	25590
839	2346	25586
840	2349	25582
841	2351	25576
842	2353	25567
843	2356	25560
844	2358	25553
845	2361	25548
846	2363	25543
847	2366	25539
848	2368	25533
849	2371	25528
850	2374	25524
851	2376	25521
852	2379	25516
853	2382	25515
854	2385	25513
855	2388	25510
856	2390	25504
857	2393	25499
858	2395	25491
859	2398	25486
860	2400	25479
861	2402	25472
862	2405	25467
863	2407	25461
864	2410	25457
865	2413	25453
866	2416	25455
867	2419	25453
868	2422	25450
869	2425	25451
870	2428	25454
871	2431	25452
872	2434	25455
873	2438	25458
874	2440	25455
875	2443	25451
876	2446	25445
877	2448	25438
878	2450	25430
879	2452	25421
880	2455	25413
881	2457	25409
882	2460	25402
883	2463	25399
884	2465	25395
885	2468	25393
886	2472	25399
887	2475	25406
888	2479	25407
889	2482	25412
890	2486	25415
891	2489	25416
892	2491	25410
893	2494	25404
894	2496	25397
895	2499	25394
896	2502	25392
897	2505	25392
898	2507	25385
899	2509	25378
900	2512	25373
901	2514	25367
902	2517	25358
903	2519	25352
904	2522	25345
905	2524	25340
906	2527	25335
907	2529	25330
908	2532	25326
909	2535	25322
910	2537	25319
911	2540	25315
912	2543	25312
913	2545	25308
914	2548	25305
915	2551	25299
916	2554	25298
917	2563	25362
918	2567	25372
919	2571	25380
920	2574	25378
921	2577	25373
922	2579	25369
923	2582	25363
924	2584	25357
925	2587	25352
926	2590	25351
927	2593	25348
928	2596	25348
929	2598	25346
930	2601	25339
931	2603	25335
932	2606	25331
933	2609	25327
934	2611	25322
935	2614	25318
936	2617	25313
937	2619	25308
938	2622	25301
939	2624	25295
940	2627	25290
941	2629	25286
942	2632	25284
943	2635	25281
944	2638	25279
945	2641	25277
946	2643	25270
947	2646	25266
948	2648	25260
949	2651	25255
950	2653	25251
951	2656	25247
952	2659	25242
953	2661	25239
954	2664	25234
955	2666	25230
956	2669	25223
957	2671	25218
958	2674	25209
959	2676	25203
960	2679	25198
961	2682	25198
962	2685	25202
963	2689	25205
964	2691	25204
965	2694	25202
966	2697	25201
967	2700	25196
968	2703	25194
969	2706	25193
970	2709	25191
971	2711	25186
972	2714	25181
973	2717	25186
974	2720	25183
975	2723	25180
976	2726	25183
977	2729	25183
978	2732	25180
979	2735	25174
980	2737	25168
981	2740	25165
982	2743	25167
983	2746	25166
984	2749	25165
985	2752	25162
986	2755	25161
987	2758	25157
988	2760	25152
989	2763	25146
990	2765	25140
991	2768	25138
992	2771	25138
993	2774	25137
994	2777	25136
995	2780	25134
996	2783	25131
997	2785	25126
998	2788	25123
999	2791	25119
1000	2793	25115
1001	2796	25114
1002	2799	25110
1003	2801	25104
1004	2804	25099
1005	2806	25094
1006	2809	25090
1007	2811	25084
1008	2814	25082
1009	2817	25080
1010	2821	25082
1011	2824	25084
1012	2827	25084
1013	2830	25083
1014	2833	25081
1015	2835	25076
1016	2838	25073
1017	2840	25065
1018	2843	25060
1019	2845	25053
1020	2848	25051
1021	2851	25047
1022	2853	25042
1023	2856	25037
1024	2858	25033
1025	2861	25028
1026	2864	25024
1027	2866	25020
1028	2869	25017
1029	2872	25012
1030	2875	25013
1031	2878	25015
1032	2881	25012
1033	2884	25010
1034	2887	25008
1035	2889	25004
1036	2893	25006
1037	2896	25004
1038	2899	25003
1039	2901	24999
1040	2904	24994
1041	2907	24992
1042	2910	24992
1043	2913	24990
1044	2916	24990
1045	2919	24990
1046	2922	24988
1047	2925	24991
1048	2928	24992
1049	2931	24987
1050	2934	24985
1051	2937	24981
1052	2939	24979
1053	2942	24979
1054	2945	24973
1055	2947	24967
1056	2950	24960
1057	2952	24956
1058	2955	24950
1059	2958	24949
1060	2962	24956
1061	2965	24956
1062	2968	24959
1063	2972	24961
1064	2975	24961
1065	2978	24959
1066	2981	24957
1067	2983	24953
1068	2986	24949
1069	2988	24943
1070	2991	24938
1071	2993	24934
1072	2996	24931
1073	2999	24925
1074	3001	24919
1075	3004	24914
1076	3006	24909
1077	3009	24906
1078	3012	24903
1079	3014	24897
1080	3017	24894
1081	3020	24891
1082	3022	24887
1083	3025	24883
1084	3027	24878
1085	3030	24872
1086	3032	24865
1087	3035	24860
1088	3037	24856
1089	3040	24852
1090	3043	24849
1091	3045	24844
1092	3048	24840
1093	3050	24836
1094	3053	24832
1095	3055	24826
1096	3058	24824
1097	3061	24820
1098	3063	24815
1099	3066	24810
1100	3068	24803
1101	3071	24800
1102	3074	24795
1103	3076	24789
1104	3079	24785
1105	3081	24781
1106	3084	24780
1107	3087	24777
1108	3090	24777
1109	3093	24774
1110	3095	24769
1111	3098	24764
1112	3100	24758
1113	3103	24755
1114	3106	24753
1115	3108	24746
1116	3111	24743
1117	3113	24739
1118	3116	24733
1119	3119	24729
1120	3121	24724
1121	3124	24723
1122	3127	24722
1123	3130	24722
1124	3133	24720
1125	3136	24719
1126	3139	24715
1127	3142	24713
1128	3145	24712
1129	3147	24706
1130	3150	24703
1131	3153	24702
1132	3156	24700
1133	3158	24694
1134	3161	24691
1135	3163	24687
1136	3166	24683
1137	3169	24680
1138	3171	24676
1139	3174	24673
1140	3177	24668
1141	3179	24665
1142	3182	24663
1143	3185	24661
1144	3188	24656
1145	3190	24650
1146	3193	24646
1147	3195	24642
1148	3198	24638
1149	3201	24636
1150	3204	24635
1151	3207	24633
1152	3210	24633
1153	3213	24633
1154	3216	24628
1155	3218	24621
1156	3220	24616
1157	3223	24612
1158	3225	24607
1159	3228	24603
1160	3231	24598
1161	3233	24594
1162	3236	24591
1163	3239	24590
1164	3242	24587
1165	3244	24584
1166	3247	24582
1167	3250	24579
1168	3253	24574
1169	3255	24568
1170	3258	24565
1171	3260	24561
1172	3263	24558
1173	3266	24555
1174	3268	24551
1175	3271	24548
1176	3274	24545
1177	3276	24540
1178	3279	24536
1179	3282	24533
1180	3284	24530
1181	3287	24526
1182	3290	24527
1183	3294	24528
1184	3298	24534
1185	3301	24537
1186	3304	24537
1187	3307	24533
1188	3309	24527
1189	3312	24522
1190	3314	24517
1191	3317	24512
1192	3319	24507
1193	3322	24502
1194	3324	24498
1195	3327	24495
1196	3330	24490
1197	3332	24487
1198	3335	24485
1199	3338	24481
1200	3340	24476
1201	3343	24473
1202	3346	24469
1203	3348	24463
1204	3350	24458
1205	3353	24454
1206	3355	24448
1207	3358	24442
1208	3361	24440
1209	3364	24437
1210	3366	24434
1211	3369	24428
1212	3371	24424
1213	3374	24421
1214	3377	24418
1215	3379	24415
1216	3382	24411
1217	3384	24405
1218	3387	24401
1219	3389	24396
1220	3392	24390
1221	3394	24386
1222	3397	24385
1223	3401	24385
1224	3404	24384
1225	3406	24380
1226	3409	24375
1227	3411	24371
1228	3414	24368
1229	3417	24367
1230	3420	24367
1231	3423	24366
1232	3426	24363
1233	3429	24359
1234	3431	24354
1235	3434	24351
1236	3437	24347
1237	3439	24344
1238	3442	24338
1239	3444	24335
1240	3447	24333
1241	3450	24332
1242	3453	24333
1243	3456	24330
1244	3459	24327
1245	3462	24325
1246	3465	24324
1247	3468	24320
1248	3470	24315
1249	3473	24313
1250	3476	24313
1251	3479	24313
1252	3482	24310
1253	3485	24307
1254	3487	24304
1255	3490	24301
1256	3493	24300
1257	3496	24298
1258	3499	24299
1259	3503	24300
1260	3506	24298
1261	3508	24293
1262	3511	24288
1263	3513	24284
1264	3516	24283
1265	3519	24278
1266	3522	24277
1267	3525	24277
1268	3528	24275
1269	3531	24274
1270	3534	24274
1271	3537	24274
1272	3540	24273
1273	3543	24272
1274	3546	24272
1275	3549	24267
1276	3552	24265
1277	3555	24263
1278	3558	24262
1279	3561	24261
1280	3564	24260
1281	3567	24258
1282	3570	24258
1283	3573	24256
1284	3575	24252
1285	3578	24247
